#CHR	bp	cM
HanXRQChr01	31400001	11.5407142857143
HanXRQChr01	31500001	11.5421428571429
HanXRQChr01	31600001	11.5435714285714
HanXRQChr01	31700001	11.547
HanXRQChr01	31800001	11.549
HanXRQChr01	31900001	11.551
HanXRQChr01	32000001	11.553
HanXRQChr01	32100001	11.5566666666667
HanXRQChr01	32200001	11.5583333333333
HanXRQChr01	32300001	11.56
HanXRQChr01	32400001	11.5616666666667
HanXRQChr01	32500001	11.5633333333333
HanXRQChr01	32600001	11.567
HanXRQChr01	32700001	11.569
HanXRQChr01	32800001	11.571
HanXRQChr01	32900001	11.573
HanXRQChr01	33000001	11.577
HanXRQChr01	33100001	11.579
HanXRQChr01	33200001	11.581
HanXRQChr01	33300001	11.583
HanXRQChr01	33400001	11.5875
HanXRQChr01	33500001	11.59
HanXRQChr01	33600001	11.5925
HanXRQChr01	33700001	11.597
HanXRQChr01	33800001	11.599
HanXRQChr01	33900001	11.601
HanXRQChr01	34000001	11.603
HanXRQChr01	34100001	11.6075
HanXRQChr01	34200001	11.61
HanXRQChr01	34300001	11.6125
HanXRQChr01	34400001	11.6175
HanXRQChr01	34500001	11.62
HanXRQChr01	34600001	11.6225
HanXRQChr01	34700001	11.6275
HanXRQChr01	34800001	11.63
HanXRQChr01	34900001	11.6325
HanXRQChr01	35000001	11.6383333333333
HanXRQChr01	35100001	11.6416666666667
HanXRQChr01	35200001	11.6475
HanXRQChr01	35300001	11.65
HanXRQChr01	35400001	11.6525
HanXRQChr01	35500001	11.6583333333333
HanXRQChr01	35600001	11.6616666666667
HanXRQChr01	35700001	11.6675
HanXRQChr01	35800001	11.67
HanXRQChr01	35900001	11.6725
HanXRQChr01	36000001	11.6783333333333
HanXRQChr01	36100001	11.6816666666667
HanXRQChr01	36200001	11.6875
HanXRQChr01	36300001	11.69
HanXRQChr01	36400001	11.6925
HanXRQChr01	36500001	11.6983333333333
HanXRQChr01	36600001	11.7016666666667
HanXRQChr01	36700001	11.7083333333333
HanXRQChr01	36800001	11.7116666666667
HanXRQChr01	36900001	11.7183333333333
HanXRQChr01	37000001	11.7216666666667
HanXRQChr01	37100001	11.7283333333333
HanXRQChr01	37200001	11.7316666666667
HanXRQChr01	37300001	11.7383333333333
HanXRQChr01	37400001	11.7416666666667
HanXRQChr01	37500001	11.7483333333333
HanXRQChr01	37600001	11.7516666666667
HanXRQChr01	37700001	11.7583333333333
HanXRQChr01	37800001	11.7616666666667
HanXRQChr01	37900001	11.7683333333333
HanXRQChr01	38000001	11.7716666666667
HanXRQChr01	38100001	11.78
HanXRQChr01	38200001	11.7883333333333
HanXRQChr01	38300001	11.7916666666667
HanXRQChr01	38400001	11.7983333333333
HanXRQChr01	38500001	11.8016666666667
HanXRQChr01	38600001	11.8083333333333
HanXRQChr01	38700001	11.8116666666667
HanXRQChr01	38800001	11.82
HanXRQChr01	38900001	11.8283333333333
HanXRQChr01	39000001	11.8316666666667
HanXRQChr01	39100001	11.8383333333333
HanXRQChr01	39200001	11.8416666666667
HanXRQChr01	39300001	11.85
HanXRQChr01	39400001	11.8583333333333
HanXRQChr01	39500001	11.8616666666667
HanXRQChr01	39600001	11.87
HanXRQChr01	39700001	11.8783333333333
HanXRQChr01	39800001	11.8816666666667
HanXRQChr01	39900001	11.89
HanXRQChr01	40000001	11.8983333333333
HanXRQChr01	40100001	11.9016666666667
HanXRQChr01	40200001	11.91
HanXRQChr01	40300001	11.92
HanXRQChr01	40400001	11.9283333333333
HanXRQChr01	40500001	11.9316666666667
HanXRQChr01	40600001	11.94
HanXRQChr01	40700001	11.95
HanXRQChr01	40800001	11.9583333333333
HanXRQChr01	40900001	11.9616666666667
HanXRQChr01	41000001	11.97
HanXRQChr01	41100001	11.98
HanXRQChr01	41200001	11.9883333333333
HanXRQChr01	41300001	11.9916666666667
HanXRQChr01	41400001	12
HanXRQChr01	41500001	12.01
HanXRQChr01	41600001	12.02
HanXRQChr01	41700001	12.03
HanXRQChr01	41800001	12.0383333333333
HanXRQChr01	41900001	12.0416666666667
HanXRQChr01	42000001	12.05
HanXRQChr01	42100001	12.06
HanXRQChr01	42200001	12.07
HanXRQChr01	42300001	12.08
HanXRQChr01	42400001	12.09
HanXRQChr01	42500001	12.1
HanXRQChr01	42600001	12.1083333333333
HanXRQChr01	42700001	12.1116666666667
HanXRQChr01	42800001	12.12
HanXRQChr01	42900001	12.13
HanXRQChr01	43000001	12.14
HanXRQChr01	43100001	12.15
HanXRQChr01	43200001	12.16
HanXRQChr01	43300001	12.17
HanXRQChr01	43400001	12.18
HanXRQChr01	43500001	12.19
HanXRQChr01	43600001	12.2
HanXRQChr01	43700001	12.21
HanXRQChr01	43800001	12.22
HanXRQChr01	43900001	12.23
HanXRQChr01	44000001	12.24
HanXRQChr01	44100001	12.25
HanXRQChr01	44200001	12.26
HanXRQChr01	44300001	12.27
HanXRQChr01	44400001	12.28
HanXRQChr01	44500001	12.29
HanXRQChr01	44600001	12.31
HanXRQChr01	44700001	12.32
HanXRQChr01	44800001	12.33
HanXRQChr01	44900001	12.34
HanXRQChr01	45000001	12.35
HanXRQChr01	45100001	12.36
HanXRQChr01	45200001	12.37
HanXRQChr01	45300001	12.38
HanXRQChr01	45400001	12.4
HanXRQChr01	45500001	12.41
HanXRQChr01	45600001	12.42
HanXRQChr01	45700001	12.43
HanXRQChr01	45800001	12.44
HanXRQChr01	45900001	12.46
HanXRQChr01	46000001	12.47
HanXRQChr01	46100001	12.48
HanXRQChr01	46200001	12.49
HanXRQChr01	46300001	12.51
HanXRQChr01	46400001	12.52
HanXRQChr01	46500001	12.53
HanXRQChr01	46600001	12.54
HanXRQChr01	46700001	12.56
HanXRQChr01	46800001	12.57
HanXRQChr01	46900001	12.58
HanXRQChr01	47000001	12.6
HanXRQChr01	47100001	12.61
HanXRQChr01	47200001	12.62
HanXRQChr01	47300001	12.64
HanXRQChr01	47400001	12.65
HanXRQChr01	47500001	12.67
HanXRQChr01	47600001	12.68
HanXRQChr01	47700001	12.69
HanXRQChr01	47800001	12.71
HanXRQChr01	47900001	12.72
HanXRQChr01	48000001	12.74
HanXRQChr01	48100001	12.75
HanXRQChr01	48200001	12.77
HanXRQChr01	48300001	12.78
HanXRQChr01	48400001	12.8
HanXRQChr01	48500001	12.81
HanXRQChr01	48600001	12.83
HanXRQChr01	48700001	12.84
HanXRQChr01	48800001	12.86
HanXRQChr01	48900001	12.87
HanXRQChr01	49000001	12.89
HanXRQChr01	49100001	12.91
HanXRQChr01	49200001	12.92
HanXRQChr01	49300001	12.94
HanXRQChr01	49400001	12.96
HanXRQChr01	49500001	12.97
HanXRQChr01	49600001	12.99
HanXRQChr01	49700001	13
HanXRQChr01	49800001	13.02
HanXRQChr01	49900001	13.04
HanXRQChr01	50000001	13.06
HanXRQChr01	50100001	13.07
HanXRQChr01	50200001	13.09
HanXRQChr01	50300001	13.11
HanXRQChr01	50400001	13.13
HanXRQChr01	50500001	13.14
HanXRQChr01	50600001	13.16
HanXRQChr01	50700001	13.18
HanXRQChr01	50800001	13.2
HanXRQChr01	50900001	13.22
HanXRQChr01	51000001	13.23
HanXRQChr01	51100001	13.25
HanXRQChr01	51200001	13.27
HanXRQChr01	51300001	13.29
HanXRQChr01	51400001	13.31
HanXRQChr01	51500001	13.33
HanXRQChr01	51600001	13.35
HanXRQChr01	51700001	13.37
HanXRQChr01	51800001	13.39
HanXRQChr01	51900001	13.41
HanXRQChr01	52000001	13.43
HanXRQChr01	52100001	13.45
HanXRQChr01	52200001	13.47
HanXRQChr01	52300001	13.49
HanXRQChr01	52400001	13.51
HanXRQChr01	52500001	13.53
HanXRQChr01	52600001	13.55
HanXRQChr01	52700001	13.57
HanXRQChr01	52800001	13.59
HanXRQChr01	52900001	13.61
HanXRQChr01	53000001	13.64
HanXRQChr01	53100001	13.66
HanXRQChr01	53200001	13.68
HanXRQChr01	53300001	13.7
HanXRQChr01	53400001	13.72
HanXRQChr01	53500001	13.75
HanXRQChr01	53600001	13.77
HanXRQChr01	53700001	13.79
HanXRQChr01	53800001	13.81
HanXRQChr01	53900001	13.84
HanXRQChr01	54000001	13.86
HanXRQChr01	54100001	13.88
HanXRQChr01	54200001	13.91
HanXRQChr01	54300001	13.93
HanXRQChr01	54400001	13.95
HanXRQChr01	54500001	13.98
HanXRQChr01	54600001	14
HanXRQChr01	54700001	14.03
HanXRQChr01	54800001	14.05
HanXRQChr01	54900001	14.07
HanXRQChr01	55000001	14.1
HanXRQChr01	55100001	14.12
HanXRQChr01	55200001	14.15
HanXRQChr01	55300001	14.17
HanXRQChr01	55400001	14.2
HanXRQChr01	55500001	14.22
HanXRQChr01	55600001	14.25
HanXRQChr01	55700001	14.28
HanXRQChr01	55800001	14.3
HanXRQChr01	55900001	14.33
HanXRQChr01	56000001	14.36
HanXRQChr01	56100001	14.38
HanXRQChr01	56200001	14.41
HanXRQChr01	56300001	14.44
HanXRQChr01	56400001	14.46
HanXRQChr01	56500001	14.49
HanXRQChr01	56600001	14.52
HanXRQChr01	56700001	14.55
HanXRQChr01	56800001	14.57
HanXRQChr01	56900001	14.6
HanXRQChr01	57000001	14.63
HanXRQChr01	57100001	14.66
HanXRQChr01	57200001	14.69
HanXRQChr01	57300001	14.71
HanXRQChr01	57400001	14.74
HanXRQChr01	57500001	14.77
HanXRQChr01	57600001	14.8
HanXRQChr01	57700001	14.83
HanXRQChr01	57800001	14.86
HanXRQChr01	57900001	14.89
HanXRQChr01	58000001	14.92
HanXRQChr01	58100001	14.95
HanXRQChr01	58200001	14.98
HanXRQChr01	58300001	15.01
HanXRQChr01	58400001	15.04
HanXRQChr01	58500001	15.07
HanXRQChr01	58600001	15.11
HanXRQChr01	58700001	15.14
HanXRQChr01	58800001	15.17
HanXRQChr01	58900001	15.2
HanXRQChr01	59000001	15.23
HanXRQChr01	59100001	15.26
HanXRQChr01	59200001	15.3
HanXRQChr01	59300001	15.33
HanXRQChr01	59400001	15.36
HanXRQChr01	59500001	15.39
HanXRQChr01	59600001	15.43
HanXRQChr01	59700001	15.46
HanXRQChr01	59800001	15.49
HanXRQChr01	59900001	15.53
HanXRQChr01	60000001	15.56
HanXRQChr01	60100001	15.6
HanXRQChr01	60200001	15.63
HanXRQChr01	60300001	15.67
HanXRQChr01	60400001	15.7
HanXRQChr01	60500001	15.74
HanXRQChr01	60600001	15.77
HanXRQChr01	60700001	15.81
HanXRQChr01	60800001	15.84
HanXRQChr01	60900001	15.88
HanXRQChr01	61000001	15.91
HanXRQChr01	61100001	15.95
HanXRQChr01	61200001	15.99
HanXRQChr01	61300001	16.02
HanXRQChr01	61400001	16.06
HanXRQChr01	61500001	16.1
HanXRQChr01	61600001	16.13
HanXRQChr01	61700001	16.17
HanXRQChr01	61800001	16.21
HanXRQChr01	61900001	16.25
HanXRQChr01	62000001	16.28
HanXRQChr01	62100001	16.32
HanXRQChr01	62200001	16.36
HanXRQChr01	62300001	16.4
HanXRQChr01	62400001	16.44
HanXRQChr01	62500001	16.48
HanXRQChr01	62600001	16.52
HanXRQChr01	62700001	16.56
HanXRQChr01	62800001	16.6
HanXRQChr01	62900001	16.64
HanXRQChr01	63000001	16.68
HanXRQChr01	63100001	16.72
HanXRQChr01	63200001	16.76
HanXRQChr01	63300001	16.8
HanXRQChr01	63400001	16.84
HanXRQChr01	63500001	16.88
HanXRQChr01	63600001	16.92
HanXRQChr01	63700001	16.97
HanXRQChr01	63800001	17.01
HanXRQChr01	63900001	17.05
HanXRQChr01	64000001	17.09
HanXRQChr01	64100001	17.14
HanXRQChr01	64200001	17.18
HanXRQChr01	64300001	17.22
HanXRQChr01	64400001	17.27
HanXRQChr01	64500001	17.31
HanXRQChr01	64600001	17.35
HanXRQChr01	64700001	17.4
HanXRQChr01	64800001	17.44
HanXRQChr01	64900001	17.49
HanXRQChr01	65000001	17.53
HanXRQChr01	65100001	17.58
HanXRQChr01	65200001	17.62
HanXRQChr01	65300001	17.67
HanXRQChr01	65400001	17.71
HanXRQChr01	65500001	17.76
HanXRQChr01	65600001	17.81
HanXRQChr01	65700001	17.85
HanXRQChr01	65800001	17.9
HanXRQChr01	65900001	17.95
HanXRQChr01	66000001	17.99
HanXRQChr01	66100001	18.04
HanXRQChr01	66200001	18.09
HanXRQChr01	66300001	18.14
HanXRQChr01	66400001	18.18
HanXRQChr01	66500001	18.23
HanXRQChr01	66600001	18.28
HanXRQChr01	66700001	18.33
HanXRQChr01	66800001	18.38
HanXRQChr01	66900001	18.43
HanXRQChr01	67000001	18.48
HanXRQChr01	67100001	18.53
HanXRQChr01	67200001	18.58
HanXRQChr01	67300001	18.63
HanXRQChr01	67400001	18.68
HanXRQChr01	67500001	18.73
HanXRQChr01	67600001	18.78
HanXRQChr01	67700001	18.83
HanXRQChr01	67800001	18.88
HanXRQChr01	67900001	18.93
HanXRQChr01	68000001	18.99
HanXRQChr01	68100001	19.04
HanXRQChr01	68200001	19.09
HanXRQChr01	68300001	19.14
HanXRQChr01	68400001	19.19
HanXRQChr01	68500001	19.25
HanXRQChr01	68600001	19.3
HanXRQChr01	68700001	19.35
HanXRQChr01	68800001	19.4
HanXRQChr01	68900001	19.46
HanXRQChr01	69000001	19.51
HanXRQChr01	69100001	19.56
HanXRQChr01	69200001	19.62
HanXRQChr01	69300001	19.67
HanXRQChr01	69400001	19.73
HanXRQChr01	69500001	19.78
HanXRQChr01	69600001	19.83
HanXRQChr01	69700001	19.89
HanXRQChr01	69800001	19.94
HanXRQChr01	69900001	20
HanXRQChr01	70000001	20.05
HanXRQChr01	70100001	20.11
HanXRQChr01	70200001	20.16
HanXRQChr01	70300001	20.22
HanXRQChr01	70400001	20.27
HanXRQChr01	70500001	20.33
HanXRQChr01	70600001	20.39
HanXRQChr01	70700001	20.44
HanXRQChr01	70800001	20.5
HanXRQChr01	70900001	20.55
HanXRQChr01	71000001	20.61
HanXRQChr01	71100001	20.66
HanXRQChr01	71200001	20.72
HanXRQChr01	71300001	20.78
HanXRQChr01	71400001	20.83
HanXRQChr01	71500001	20.89
HanXRQChr01	71600001	20.95
HanXRQChr01	71700001	21
HanXRQChr01	71800001	21.06
HanXRQChr01	71900001	21.12
HanXRQChr01	72000001	21.18
HanXRQChr01	72100001	21.23
HanXRQChr01	72200001	21.29
HanXRQChr01	72300001	21.35
HanXRQChr01	72400001	21.4
HanXRQChr01	72500001	21.46
HanXRQChr01	72600001	21.52
HanXRQChr01	72700001	21.58
HanXRQChr01	72800001	21.63
HanXRQChr01	72900001	21.69
HanXRQChr01	73000001	21.75
HanXRQChr01	73100001	21.81
HanXRQChr01	73200001	21.87
HanXRQChr01	73300001	21.92
HanXRQChr01	73400001	21.98
HanXRQChr01	73500001	22.04
HanXRQChr01	73600001	22.1
HanXRQChr01	73700001	22.16
HanXRQChr01	73800001	22.21
HanXRQChr01	73900001	22.27
HanXRQChr01	74000001	22.33
HanXRQChr01	74100001	22.39
HanXRQChr01	74200001	22.45
HanXRQChr01	74300001	22.51
HanXRQChr01	74400001	22.56
HanXRQChr01	74500001	22.62
HanXRQChr01	74600001	22.68
HanXRQChr01	74700001	22.74
HanXRQChr01	74800001	22.8
HanXRQChr01	74900001	22.86
HanXRQChr01	75000001	22.91
HanXRQChr01	75100001	22.97
HanXRQChr01	75200001	23.03
HanXRQChr01	75300001	23.09
HanXRQChr01	75400001	23.15
HanXRQChr01	75500001	23.21
HanXRQChr01	75600001	23.26
HanXRQChr01	75700001	23.32
HanXRQChr01	75800001	23.38
HanXRQChr01	75900001	23.44
HanXRQChr01	76000001	23.5
HanXRQChr01	76100001	23.56
HanXRQChr01	76200001	23.61
HanXRQChr01	76300001	23.67
HanXRQChr01	76400001	23.73
HanXRQChr01	76500001	23.79
HanXRQChr01	76600001	23.85
HanXRQChr01	76700001	23.91
HanXRQChr01	76800001	23.96
HanXRQChr01	76900001	24.02
HanXRQChr01	77000001	24.08
HanXRQChr01	77100001	24.14
HanXRQChr01	77200001	24.2
HanXRQChr01	77300001	24.25
HanXRQChr01	77400001	24.31
HanXRQChr01	77500001	24.37
HanXRQChr01	77600001	24.43
HanXRQChr01	77700001	24.48
HanXRQChr01	77800001	24.54
HanXRQChr01	77900001	24.6
HanXRQChr01	78000001	24.66
HanXRQChr01	78100001	24.71
